Date,Home,HG,HxG,Away,AG,AxG,xGD
5/14/2016,DC United,2,1.7264311869,New York,0,1.1695286846,0.5569025023
5/28/2016,Vancouver,1,1.6250816646,Houston,1,1.0528590175,0.572222647
5/15/2016,Toronto,3,2.7143258488,Vancouver,4,0.5827132446,2.1316126041
5/29/2016,New York,3,0.542857226,Toronto,0,2.2606752703,-1.7178180443
5/14/2016,Montreal,1,1.3998983467,Philadelphia,1,1.6107770057,-0.210878659
5/29/2016,Columbus,3,5.2707608699,Salt Lake,3,2.2829658281,2.9877950418
5/29/2016,New England,2,1.8134862505,Seattle,1,1.1200311908,0.6934550597
5/29/2016,Chicago,1,1.4733684098,Portland,1,0.5082889114,0.9650794983
5/29/2016,Colorado,1,1.1165674272,Philadelphia,1,0.5041812493,0.612386178
5/29/2016,San Jose,0,0.532970873,FC Dallas,0,0.3700339983,0.1629368747
5/29/2016,New York City FC,2,2.4683238771,Orlando City,2,1.2132182262,1.2551056509
5/29/2016,Montreal,3,1.4124051446,L.A. Galaxy,2,1.3485270364,0.0638781082
6/2/2016,Philadelphia,3,1.0207278018,Columbus,2,1.6342426821,-0.6135148803
5/22/2016,Orlando City,2,1.796410482,Montreal,1,1.0844977108,0.7119127712
6/2/2016,DC United,0,1.6232500448,Seattle,2,1.104337597,0.5189124479
5/22/2016,New England,2,2.3767609179,FC Dallas,4,1.6295270125,0.7472339053
6/2/2016,Portland,1,0.0806612388,San Jose,0,1.3295024109,-1.2488411721
5/22/2016,Kansas City,1,1.0828656904,Salt Lake,2,1.1166391523,-0.033773462
6/3/2016,New York City FC,2,2.8516733868,Salt Lake,2,0.6071646636,2.2445087233
5/22/2016,Seattle,0,1.1069458627,Colorado,1,0.7465531872,0.3603926754
6/3/2016,FC Dallas,1,1.1849727037,Houston,1,0.9303939318,0.2545787719
6/3/2016,L.A. Galaxy,0,0.1001489289,Kansas City,0,1.124611354,-1.0244624251
6/18/2016,New York City FC,3,1.6314479977,Philadelphia,1,1.3476359904,0.2838120072
6/25/2016,Seattle,0,1.5653031637,New York City FC,2,1.4392701013,0.1260330624
07/09/2016,San Jose,0,1.3769587916,FC Dallas,1,1.3863793757,-0.0094205841
6/26/2016,Philadelphia,2,3.372428811,Vancouver,3,0.7910681357,2.5813606753
07/09/2016,Seattle,0,2.4090139779,L.A. Galaxy,1,1.281444051,1.1275699269
