Date,Home,HG,HxG,Away,AG,AxG,xGD
5/21/2016,Philadelphia,1,1.08,DC United,0,1.31,-0.23
5/21/2016,New York City FC,0,0.86,New York,7,2.87,-2.01
5/21/2016,Chicago,1,1.87,Houston,0,0.76,1.11
5/21/2016,Toronto,0,0.7,Columbus,0,0.88,-0.18
5/19/2016,Toronto,1,1.62,New York City FC,1,1.01,0.61
5/19/2016,New York,1,0.42,Chicago,0,0.87,-0.44
5/16/2016,Portland,1,2.48,New York City FC,2,0.84,1.64
5/15/2016,Houston,1,2.23,Salt Lake,0,0.73,1.5
5/15/2016,Columbus,1,1.48,Colorado,1,1,0.49
5/15/2016,New England,2,1.55,Chicago,0,0.12,1.43
5/15/2016,FC Dallas,2,1.57,Seattle,0,0.78,0.79
5/15/2016,Kansas City,2,3.19,Orlando City,0,0.4,2.79
5/15/2016,Toronto,3,2.71,Vancouver,4,0.58,2.13
5/14/2016,DC United,2,1.73,New York,0,1.17,0.56
5/14/2016,Montreal,1,1.4,Philadelphia,1,1.61,-0.21
5/12/2016,Vancouver,2,2.17,Chicago,1,1.73,0.44
5/12/2016,Philadelphia,2,4.04,L.A. Galaxy,2,0.2,3.84
5/12/2016,FC Dallas,2,1.47,Portland,1,0.74,0.72
5/12/2016,Colorado,1,1.15,Kansas City,0,0.45,0.7
5/12/2016,San Jose,3,1.4,Houston,1,0.59,0.81
5/9/2016,DC United,0,0.94,New York City FC,2,1.41,-0.48
5/8/2016,Toronto,1,1.94,FC Dallas,0,0.79,1.14
5/8/2016,Houston,2,1.01,Kansas City,0,0.96,0.04
5/8/2016,Columbus,4,2.78,Montreal,4,2.71,0.06
5/8/2016,Colorado,1,1.34,Salt Lake,0,1.03,0.31
5/8/2016,Seattle,2,1.3,San Jose,0,1.67,-0.37
5/8/2016,L.A. Galaxy,4,2.7,New England,2,1.85,0.85
5/7/2016,Orlando City,1,2.06,New York,1,0.76,1.29
5/7/2016,Vancouver,2,1.91,Portland,1,1.53,0.39
